% N density lambda LLtest TP FP
1000 0.13 200.000000  0.000000 0.447853 0.289670
1000 0.13 150.000000  0.000000 0.489264 0.305724
1000 0.13 100.000000  0.000000 0.519939 0.326198
1000 0.13 50.000000  0.000000 0.593558 0.375291
1000 0.13 40.000000  0.000000 0.599693 0.384830
1000 0.13 30.000000  0.000000 0.613497 0.392973
1000 0.13 20.000000  0.000000 0.627301 0.412052
1000 0.13 10.000000  0.000000 0.645706 0.434853
1000 0.13 5.000000  0.000000 0.647239 0.446719
1000 0.13 1.000000  0.000000 0.648773 0.455793
1000 0.14 500.000000  0.000000 0.316017 0.185577
1000 0.14 450.000000  0.000000 0.353535 0.203430
1000 0.14 400.000000  0.000000 0.360750 0.211416
1000 0.14 350.000000  0.000000 0.385281 0.218699
1000 0.14 300.000000  0.000000 0.411255 0.228330
1000 0.14 250.000000  0.000000 0.432900 0.242659
1000 0.14 200.000000  0.000000 0.467532 0.259338
1000 0.14 150.000000  0.000000 0.522367 0.281184
1000 0.14 100.000000  0.000000 0.572872 0.312661
1000 0.14 50.000000  0.000000 0.672439 0.375147
1000 0.14 40.000000  0.000000 0.695527 0.386422
1000 0.14 30.000000  0.000000 0.720058 0.408504
1000 0.14 20.000000  0.000000 0.738817 0.431994
1000 0.14 10.000000  0.000000 0.756133 0.469110
1000 0.14 5.000000  0.000000 0.784993 0.499883
1000 0.14 1.000000  0.000000 0.790765 0.522903
1000 0.13 500.000000  0.000000 0.427663 0.178662
1000 0.13 450.000000  0.000000 0.468998 0.192317
1000 0.13 400.000000  0.000000 0.476948 0.202268
1000 0.13 350.000000  0.000000 0.502385 0.214997
1000 0.13 300.000000  0.000000 0.534181 0.230039
1000 0.13 250.000000  0.000000 0.554849 0.249248
1000 0.13 200.000000  0.000000 0.612083 0.267299
1000 0.13 150.000000  0.000000 0.655008 0.296691
1000 0.13 100.000000  0.000000 0.709062 0.333719
1000 0.13 50.000000  0.000000 0.804452 0.396899
1000 0.13 40.000000  0.000000 0.823529 0.408933
