%n density lambda lse TP FP 
%n density lambda lse TP FP 
1000 0.3146 0.1 1.031297 0.9993434 0.9964984
1000 0.3146 0.1 1.015654 0.9954038 0.994164
1000 0.3146 0.1 1.052942 0.9980302 0.995623
1000 0.3146 0.1 1.080639 0.9960604 0.9953312
1000 0.3138 0.1 1.025162 0.9993417 0.9947537
1000 0.3138 0.1 1.050904 1 0.9947537
1000 0.3138 0.1 1.034912 0.9986833 0.9938793
1000 0.3138 0.1 1.037354 0.9973667 0.9947537
1000 0.3138 0.1 1.063467 0.998025 0.9947537
1000 0.3128 0.1 1.050211 0.9993395 0.9970896
1000 0.3128 0.1 1.053301 0.9993395 0.9947614
1000 0.3128 0.1 1.055096 0.998679 0.9944703
1000 0.3128 0.1 1.009540 0.9980185 0.9953434
1000 0.3128 0.1 1.018505 0.9993395 0.9944703
1000 0.3138 0.1 1.020972 0.9973667 0.995628
1000 0.3138 0.1 1.027161 0.9967084 0.9965025
1000 0.3138 0.1 1.057741 0.9973667 0.992422
1000 0.3138 0.1 1.039404 0.998025 0.9935879
1000 0.3138 0.1 1.058804 0.998025 0.9947537
%n density lambda lse TP FP 
30 0.0614 0.2 1.483849 0.6264591 0.5951417
30 0.0614 0.2 1.475302 0.6342412 0.5757511
30 0.0614 0.2 1.453585 0.6264591 0.5884296
30 0.0614 0.2 1.478800 0.610895 0.5790539
30 0.0614 0.2 1.463241 0.618677 0.5853399
30 0.0612 0.2 1.491876 0.59375 0.5917128
30 0.0612 0.2 1.452651 0.59375 0.5851086
30 0.0612 0.2 1.498113 0.625 0.5919259
30 0.0612 0.2 1.483500 0.5859375 0.587239
30 0.0612 0.2 1.487456 0.5898438 0.5822326
30 0.0616 0.2 1.44128 0.6472868 0.5900469
30 0.0616 0.2 1.500782 0.5620155 0.5880222
30 0.0616 0.2 1.480443 0.6046512 0.5793905
30 0.0616 0.2 1.490740 0.6007752 0.5841858
30 0.0616 0.2 1.507371 0.5620155 0.5867434
30 0.0614 0.2 1.474229 0.618677 0.5896015
30 0.0614 0.2 1.397099 0.6459144 0.5760707
30 0.0614 0.2 1.451935 0.5953307 0.5907735
30 0.0614 0.2 1.508628 0.5758755 0.5915193
30 0.0614 0.2 1.449544 0.6031128 0.5828894
30 0.0618 0.2 1.470119 0.6293436 0.5975272
30 0.0618 0.2 1.497291 0.6293436 0.5761032
30 0.0618 0.2 1.474657 0.6216216 0.5774888
30 0.0618 0.2 1.513367 0.6293436 0.5769559
