%n density  glcalls lse TP FP 
50 0.0614 7 1.208352 0.4319066 0.4027275
50 0.0614 6 1.291216 0.4552529 0.4157255
50 0.0614 11 1.242208 0.4280156 0.4331984
50 0.0614 7 1.263012 0.4319066 0.4281909
50 0.0618 7 1.239543 0.4787645 0.4284801
50 0.0618 7 1.242765 0.4749035 0.4248561
50 0.0618 7 1.278573 0.4440154 0.4073758
50 0.0618 13 1.214678 0.4594595 0.4261352
50 0.0618 7 1.283968 0.5405405 0.4246429
50 0.0618 7 1.264312 0.5057915 0.4244298
50 0.0618 12 1.246062 0.4826255 0.4324238
50 0.0618 6 1.217755 0.5019305 0.4327436
50 0.0618 7 1.219423 0.4710425 0.4084417
50 0.0618 13 1.217763 0.4671815 0.4144106
50 0.0614 7 1.247671 0.4085603 0.4289367
50 0.0614 7 1.261762 0.3929961 0.4137013
50 0.0614 7 1.238624 0.4124514 0.4263797
50 0.0614 7 1.267681 0.5252918 0.4282975
50 0.0614 11 1.214444 0.4552529 0.4268059
50 0.0614 7 1.249381 0.5097276 0.4425740
50 0.0614 7 1.234901 0.4085603 0.4351161
50 0.0614 7 1.282973 0.4747082 0.4239293
50 0.0614 7 1.255489 0.4902724 0.4225442
50 0.0614 7 1.253853 0.4513619 0.4152994
50 0.0618 7 1.243168 0.4980695 0.4399915
50 0.0618 7 1.231071 0.4826255 0.4208058
50 0.0618 7 1.255343 0.4594595 0.435728
50 0.0618 7 1.282045 0.4362934 0.4244298
50 0.0618 7 1.251549 0.4826255 0.4235771
50 0.0618 7 1.225330 0.4594595 0.422298
50 0.0618 7 1.232147 0.3976834 0.4246429
50 0.0618 7 1.204975 0.4362934 0.4282669
50 0.0618 7 1.278826 0.5019305 0.4253890
50 0.0618 7 1.224941 0.4285714 0.4054573
50 0.0616 7 1.232464 0.4767442 0.4200767
50 0.0616 7 1.266218 0.4689922 0.4141091
50 0.0616 7 1.284575 0.5155039 0.4264706
50 0.0616 7 1.240679 0.4689922 0.4343564
50 0.0616 7 1.207104 0.505814 0.4283887
50 0.0616 7 1.268116 0.4069767 0.4298806
50 0.0616 7 1.262291 0.4689922 0.4369139
50 0.0616 7 1.236217 0.4496124 0.4260443
50 0.0616 7 1.211339 0.496124 0.4160273
50 0.0616 7 1.293825 0.4341085 0.4330776
50 0.0616 7 1.241909 0.4612403 0.4328645
50 0.0616 7 1.232217 0.5116279 0.4277494
50 0.0616 7 1.244761 0.4496124 0.4216752
50 0.0616 7 1.233405 0.4651163 0.4130435
50 0.0616 7 1.261935 0.4767442 0.4092072
50 0.0616 7 1.241650 0.4806202 0.4181586
50 0.0616 6 1.304108 0.5 0.4200767
50 0.0616 6 1.232786 0.5116279 0.4294544
50 0.0616 7 1.250717 0.496124 0.4124041
50 0.0616 11 1.276283 0.4883721 0.4283887
50 0.061 12 1.226150 0.4666667 0.4301384
50 0.061 7 1.262793 0.4901961 0.4047923
50 0.061 7 1.254034 0.4823529 0.4206603
50 0.061 7 1.255394 0.4627451 0.429606
50 0.061 7 1.241523 0.5058824 0.4362087
50 0.061 7 1.276172 0.4666667 0.4270501
50 0.061 7 1.257394 0.4980392 0.4144835
50 0.061 7 1.230899 0.4352941 0.4093717
50 0.061 7 1.223173 0.4745098 0.4087327
50 0.061 8 1.279082 0.4509804 0.4315229
50 0.2188 7 1.252384 0.4252874 0.4161546
50 0.2188 7 1.28307 0.4913793 0.4362519
50 0.2188 11 1.268831 0.460728 0.4307476
50 0.2188 7 1.308246 0.4521073 0.4340758
50 0.2188 12 1.283681 0.4530651 0.4281874
50 0.2188 7 1.272138 0.4511494 0.4293395
50 0.2188 7 1.261096 0.4655172 0.4385561
50 0.2188 11 1.267381 0.4568966 0.4306196
50 0.2188 7 1.241066 0.4827586 0.4190988
50 0.2188 4 1.291831 0.4396552 0.4137225
50 0.2196 7 1.278109 0.4837786 0.4433624
50 0.2196 7 1.248462 0.5004771 0.434777
50 0.2196 7 1.261529 0.4742366 0.4315736
50 0.2196 7 1.290191 0.4770992 0.4351615
50 0.2196 7 1.235574 0.4570611 0.4208098
50 0.2196 7 1.276813 0.4561069 0.4228601
50 0.2196 7 1.284910 0.476145 0.4366991
50 0.2196 8 1.317431 0.4828244 0.451307
50 0.2196 4 1.326175 0.4360687 0.429267
50 0.2196 7 1.318447 0.4694656 0.4587391
50 0.219 13 1.270700 0.4794258 0.4330346
50 0.219 11 1.257883 0.4583732 0.4330346
50 0.219 7 1.277378 0.4593301 0.4202305
50 0.219 7 1.232250 0.4746411 0.425096
50 0.219 11 1.306855 0.4746411 0.4307298
50 0.219 6 1.261796 0.4861244 0.4355954
50 0.219 7 1.258551 0.4631579 0.434443
50 0.219 10 1.300472 0.5119617 0.4340589
50 0.219 4 1.268024 0.4851675 0.4245839
50 0.219 7 1.244556 0.477512 0.4253521
50 0.2182 7 1.326162 0.4649376 0.409056
50 0.2182 4 1.239238 0.4783862 0.4301612
50 0.2182 7 1.288382 0.4697406 0.42901
50 0.2182 7 1.233938 0.4707012 0.4302891
50 0.2182 7 1.304352 0.4668588 0.4313124
50 0.2182 7 1.234734 0.4860711 0.4397544
50 0.2182 7 1.266086 0.4476465 0.441801
50 0.2182 7 1.273796 0.4524496 0.4448708
50 0.2182 7 1.279932 0.4716619 0.4308007
50 0.2182 6 1.298843 0.4755043 0.4430801
50 0.2194 7 1.296410 0.4909265 0.4174994
50 0.2194 7 1.263251 0.4632283 0.4369716
50 0.2194 7 1.273750 0.4708691 0.4186523
50 0.2194 7 1.259463 0.4579752 0.4224955
50 0.2194 11 1.268100 0.4928367 0.4299257
50 0.2194 13 1.264735 0.4517670 0.4246733
50 0.2194 12 1.280594 0.4966571 0.4388932
50 0.2194 7 1.324655 0.495702 0.4365872
50 0.2194 6 1.286309 0.4851958 0.4427364
50 0.2194 11 1.303049 0.4517670 0.4340251
50 0.2188 4 1.211727 0.4521073 0.4120584
50 0.2188 7 1.293709 0.4798851 0.4239631
50 0.2188 7 1.285559 0.4774904 0.437404
50 0.2188 6 1.221366 0.4923372 0.4336918
50 0.2188 7 1.235493 0.4798851 0.4262673
50 0.2188 7 1.233052 0.4846743 0.4431644
50 0.2188 12 1.263199 0.4588123 0.4285714
50 0.2188 7 1.285225 0.454023 0.4234511
50 0.2188 6 1.265464 0.4597701 0.4188428
50 0.2188 7 1.279602 0.4597701 0.4339478
50 0.2188 7 1.282982 0.4693487 0.4180748
50 0.2188 12 1.265342 0.5191571 0.4301075
50 0.2188 7 1.278395 0.4329502 0.4257552
50 0.2188 7 1.323141 0.5057471 0.4349718
50 0.2188 7 1.325252 0.493295 0.4198669
50 0.2188 7 1.273534 0.4626437 0.4311316
50 0.2188 7 1.244644 0.4789272 0.4142345
50 0.2188 4 1.264092 0.4645594 0.4208909
50 0.2188 7 1.237223 0.4463602 0.4201229
50 0.2188 7 1.285127 0.4655172 0.4418843
50 0.2186 6 1.301542 0.42186 0.4225749
50 0.2186 7 1.247031 0.4554171 0.4173279
50 0.2186 7 1.261100 0.4650048 0.4182237
50 0.2186 7 1.237417 0.4947267 0.4302534
50 0.2186 7 1.313323 0.4745925 0.442539
50 0.2186 7 1.275336 0.4439118 0.4229588
50 0.2186 6 1.262244 0.4439118 0.4170719
50 0.2186 7 1.331904 0.4381592 0.4159201
50 0.2186 11 1.280563 0.464046 0.4210392
50 0.2186 8 1.324535 0.4343241 0.4200154
50 0.2196 7 1.250058 0.4646947 0.4446438
50 0.2196 7 1.272727 0.4723282 0.4320861
50 0.2196 7 1.249892 0.4675573 0.4400308
50 0.2196 11 1.258109 0.4837786 0.4272168
50 0.2196 4 1.278728 0.476145 0.435674
50 0.2196 7 1.242266 0.4818702 0.4282419
50 0.2196 4 1.294035 0.4723282 0.4343926
50 0.2196 7 1.262835 0.4980916 0.4364428
50 0.2196 8 1.253430 0.4561069 0.424654
50 0.2196 7 1.261756 0.4656489 0.4214505
50 0.2192 11 1.267652 0.4445507 0.4226434
50 0.2192 7 1.278600 0.4694073 0.4216189
50 0.2192 7 1.303656 0.4837476 0.4161117
50 0.2192 4 1.284983 0.4521989 0.4331455
50 0.2192 7 1.249246 0.456979 0.4185451
50 0.2192 7 1.278128 0.5081262 0.4339139
50 0.2192 6 1.283174 0.4608031 0.4157275
50 0.2192 7 1.268221 0.4670172 0.4199539
50 0.2192 7 1.256494 0.4636711 0.4214908
50 0.2192 7 1.242159 0.4818356 0.4285348
50 0.3138 7 1.286493 0.4575379 0.4307782
50 0.3138 12 1.253459 0.4555629 0.4214515
50 0.3138 6 1.309854 0.4516129 0.4264063
50 0.3138 12 1.295498 0.4591837 0.4389391
50 0.3138 7 1.240397 0.4746544 0.4176625
50 0.3138 7 1.273581 0.4891376 0.4401049
50 0.3138 7 1.254415 0.4456880 0.4322355
50 0.3138 7 1.299118 0.4562212 0.4296124
50 0.3138 7 1.298377 0.4549045 0.4245118
50 0.3138 13 1.298024 0.455892 0.4304867
50 0.3146 7 1.280767 0.455023 0.4201926
50 0.3146 7 1.270461 0.445174 0.41815
50 0.3146 6 1.278817 0.4438608 0.4245696
50 0.3146 7 1.286460 0.4697965 0.4229647
50 0.3146 7 1.268490 0.4629022 0.435658
50 0.3146 7 1.290163 0.458306 0.4102714
50 0.3146 7 1.311900 0.458306 0.4403268
50 0.3146 6 1.263357 0.4694682 0.4377006
50 0.3146 6 1.298935 0.4786605 0.4362416
50 0.3146 7 1.281282 0.4491136 0.4344908
50 0.3138 7 1.288513 0.439763 0.4179539
50 0.3138 7 1.255483 0.4786043 0.4377732
50 0.3138 8 1.282710 0.4789335 0.4389391
50 0.3138 7 1.290499 0.4516129 0.4368989
50 0.3138 7 1.272944 0.4483213 0.4288837
50 0.3138 7 1.275511 0.4851876 0.4185369
50 0.3138 11 1.27424 0.4739961 0.4491402
50 0.3138 7 1.278163 0.4680711 0.4255319
50 0.3138 8 1.282352 0.4542462 0.4246575
50 0.3138 7 1.285445 0.4726794 0.4452055
50 0.3128 7 1.274357 0.4768824 0.4237485
50 0.3128 7 1.29615 0.4725892 0.4262224
50 0.3128 11 1.304729 0.4682959 0.4365541
50 0.3128 11 1.245595 0.4583884 0.4252037
50 0.3128 7 1.251499 0.4577279 0.4493597
50 0.3128 7 1.278428 0.4788639 0.4284051
50 0.3128 7 1.247213 0.4583884 0.4234575
50 0.3128 12 1.302318 0.5006605 0.427532
50 0.3128 7 1.309341 0.4544254 0.4199651
50 0.3128 7 1.278793 0.4735799 0.4126892
