n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.3138 10 42.72708 98.43115 6 1.082810 0 0
30 0.3138 10 42.60358 98.44526 6 1.060210 0 0
30 0.3138 10 42.54028 98.45564 6 1.080461 0 0
30 0.3138 10 42.93646 98.48054 6 1.071047 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 100 42.61064 155.5543 6 1.069359 0 0
30 0.3138 100 42.95218 155.5426 6 1.075700 0 0
30 0.3138 100 42.71837 155.5552 6 1.091120 0 0
30 0.3138 100 42.91813 155.5636 6 1.082455 0 0
30 0.3138 100 42.64407 155.5288 6 1.069869 0 0
30 0.3146 100 43.05478 155.5585 6 1.096520 0 0
30 0.3146 100 42.70325 155.5374 6 1.097763 0 0
30 0.3146 100 42.60228 155.5853 6 1.091844 0 0
30 0.3146 100 42.5105 155.5419 6 1.110457 0 0
30 0.3146 100 42.91694 155.5635 6 1.094807 0 0
30 0.3138 100 42.74905 155.5630 5 1.100648 0 0
30 0.3138 100 42.7352 155.5497 6 1.098331 0 0
30 0.3138 100 43.0687 155.5451 6 1.115717 0 0
30 0.3138 100 42.59485 155.5451 6 1.093719 0 0
30 0.3138 100 42.62138 155.5673 6 1.081546 0 0
30 0.3128 100 42.55754 155.5371 6 1.076245 0 0
30 0.3128 100 42.85315 155.5297 10 1.066694 0 0
30 0.3128 100 42.73690 155.5577 6 1.076134 0 0
30 0.3128 100 42.87522 155.5569 6 1.074561 0 0
30 0.3128 100 42.81656 155.5397 6 1.058795 0 0
30 0.3138 100 42.76895 155.5616 6 1.052892 0 0
30 0.3138 100 42.96879 155.5475 6 1.089401 0 0
30 0.3138 100 42.85226 155.5642 6 1.052864 0 0
30 0.3138 100 42.64915 155.5377 5 1.064558 0 0
30 0.3138 100 42.74786 155.5783 6 1.080017 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 200 42.7596 236.3761 5 1.08164 0 0
30 0.3138 200 42.77786 236.377 5 1.091619 0 0
30 0.3138 200 42.91861 236.3817 5 1.103427 0 0
