%n density  glcalls lse TP FP 
110 0.3138 6 1.080417 0 0
110 0.3146 6 1.087332 0.001313198 0.0002918004
110 0.3146 6 1.068062 0.001969796 0.0002918004
110 0.3146 6 1.082441 0 0
110 0.3146 6 1.079239 0 0
110 0.3146 6 1.088496 0 0
110 0.3138 6 1.084583 0.0006583278 0
110 0.3138 6 1.087796 0 0
110 0.3138 6 1.085794 0 0
110 0.3138 6 1.065639 0 0.0002914602
110 0.3138 6 1.051246 0.008558262 0.002331682
110 0.3128 6 1.076653 0.000660502 0.0002910361
110 0.3128 6 1.085662 0 0
110 0.3128 7 1.080161 0 0
110 0.3128 6 1.098678 0.001981506 0
110 0.3128 6 1.089538 0 0.0002910361
110 0.3138 6 1.076230 0 0
110 0.3138 6 1.064922 0.005924951 0.002331682
110 0.3138 6 1.062094 0 0.0002914602
110 0.3138 6 1.083591 0 0.0002914602
110 0.3138 6 1.080282 0.001316656 0.0005829204
%n density  glcalls lse TP FP 
110 0.0614 6 1.022905 0 0
110 0.0614 6 1.007153 0 0
110 0.0614 6 1.014425 0 0
110 0.0614 6 1.022443 0 0
110 0.0614 7 1.002603 0 0
110 0.0612 6 1.019129 0 0
110 0.0612 13 1.042341 0 0.001065190
110 0.0612 6 0.9961184 0.00390625 0
110 0.0612 6 1.006613 0 0
110 0.0612 6 1.013249 0 0
110 0.0616 6 1.020135 0 0
110 0.0616 6 1.018776 0 0
110 0.0616 6 1.005601 0 0.0004262575
110 0.0616 6 1.033147 0.003875969 0.00170503
110 0.0616 6 1.034334 0 0
110 0.0614 6 1.026005 0.007782101 0.002130833
110 0.0614 6 0.9990414 0 0
110 0.0614 6 1.020683 0 0
110 0.0614 6 1.017536 0 0
110 0.0614 6 0.9845615 0 0.0002130833
110 0.0618 6 1.006965 0 0
110 0.0618 6 1.026757 0 0
110 0.0618 6 1.026914 0 0
110 0.0618 6 1.003281 0 0.0004263483
110 0.0618 6 1.013433 0.003861004 0
110 0.2188 6 1.038387 0 0
110 0.2188 6 1.061668 0 0
110 0.2188 6 1.065624 0.004789272 0.001024066
110 0.2188 6 1.036116 0.001915709 0
110 0.2188 6 1.060605 0 0
110 0.2196 6 1.055088 0.001908397 0
110 0.2196 6 1.078437 0.02290076 0.005638134
110 0.2196 6 1.041610 0.0009541985 0
110 0.2196 6 1.060865 0 0
110 0.2196 6 1.065784 0 0
