%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.2194 200 42.97634 44.44898 10 1.067451 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 1000 42.83054 9.435163 5 1.053621 0.006704981 0.003072197
30 0.2188 1000 43.16296 9.426505 5 1.063195 0.005747126 0.002048131
30 0.2188 1000 42.76106 9.40737 5 1.051971 0.003831418 0.002048131
30 0.2188 1000 42.66454 9.421562 5 1.056142 0.004789272 0.001024066
30 0.2188 1000 42.83286 9.416739 4 1.049732 0.002873563 0.001024066
30 0.2196 1000 42.62157 9.413706 4 1.075161 0.003816794 0.002050231
30 0.2196 1000 42.84035 9.42228 5 1.075349 0.005725191 0.001537673
30 0.2196 1000 43.02149 9.434208 5 1.102945 0.006679389 0.002306509
30 0.2196 1000 42.58839 9.414218 5 1.032134 0.004770992 0.002819067
30 0.2196 1000 42.76524 9.420092 5 1.050269 0.004770992 0.002306509
30 0.219 1000 42.87375 9.434547 4 1.061792 0.006698565 0.002048656
30 0.219 1000 42.7927 9.422709 5 1.071481 0.007655502 0.004353393
30 0.219 1000 42.85519 9.431558 5 1.053390 0.003827751 0.002304738
30 0.219 1000 42.87008 9.422244 4 1.03117 0.003827751 0.001024328
30 0.219 1000 43.04567 9.419125 4 1.064023 0.006698565 0.002048656
30 0.2182 1000 42.93734 9.41098 4 1.056557 0.003842459 0.001279100
30 0.2182 1000 42.76345 9.432643 5 1.071681 0.001921230 0.002302379
30 0.2182 1000 42.82068 9.396465 5 1.079558 0.004803074 0.003837299
30 0.2182 1000 42.89198 9.432873 5 1.073743 0.003842459 0.002046559
30 0.2182 1000 42.71957 9.420391 4 1.077434 0.004803074 0.001279100
30 0.2194 1000 43.02947 9.431082 4 1.051682 0.003820439 0.004355624
30 0.2194 1000 42.62826 9.425888 5 1.051866 0.005730659 0.003330771
30 0.2194 1000 42.85496 9.43377 5 1.073993 0.007640879 0.00486805
30 0.2194 1000 42.63043 9.42371 5 1.049916 0.007640879 0.003330771
30 0.2194 1000 42.86849 9.419655 5 1.051075 0.003820439 0.002562132
%n density b b_old lambda lse TP FP 
30 0.2188 2000 42.70629 4.731475 5 1.098247 0.1005747 0.08678955
30 0.2188 2000 42.86088 4.731893 5 1.107515 0.1216475 0.09190988
30 0.2188 2000 42.73245 4.729866 6 1.097046 0.1063218 0.08704557
30 0.2188 2000 42.47468 4.731374 6 1.125461 0.1072797 0.08653354
30 0.2188 2000 42.99354 4.728253 5 1.095962 0.1302682 0.09907834
30 0.2196 2000 42.53669 4.724156 6 1.120665 0.1269084 0.09174782
30 0.2196 2000 42.65471 4.721881 6 1.107172 0.1106870 0.09405433
30 0.2196 2000 42.834 4.723354 6 1.115994 0.1211832 0.09226038
30 0.2196 2000 42.70676 4.729182 6 1.096528 0.1011450 0.08431574
30 0.2196 2000 42.77279 4.723203 6 1.115830 0.1431298 0.09969247
30 0.219 2000 43.0065 4.741873 5 1.090233 0.1071770 0.07900128
30 0.219 2000 42.70242 4.726857 6 1.133191 0.1263158 0.09526248
30 0.219 2000 42.81831 4.726021 5 1.10133 0.1090909 0.1037132
30 0.219 2000 42.88032 4.721379 6 1.096702 0.1301435 0.1047375
30 0.219 2000 42.80933 4.726657 6 1.102063 0.1224880 0.1011524
30 0.2182 2000 42.89219 4.734505 6 1.093173 0.1229587 0.0964441
30 0.2182 2000 42.76912 4.726114 6 1.129986 0.1210375 0.09439754
30 0.2182 2000 42.52348 4.714321 3 1.106054 0.1085495 0.08646713
30 0.2182 2000 42.92992 4.744747 5 1.065956 0.08933718 0.08339729
30 0.2182 2000 42.74142 4.736312 5 1.087733 0.1075889 0.08135073
30 0.2194 2000 42.95211 4.737187 6 1.075250 0.1260745 0.09403023
30 0.2194 2000 42.94651 4.739209 6 1.107372 0.1136581 0.1040225
30 0.2194 2000 42.80167 4.724582 6 1.083841 0.1021968 0.09787343
30 0.2194 2000 42.81575 4.722752 6 1.077133 0.1279847 0.09633615
30 0.2194 2000 42.83481 4.714307 5 1.142762 0.1289398 0.1183705
%n density b b_old lambda lse TP FP 
30 0.2188 10000 43.00887 0.9172539 10 1.375846 0.4750958 0.4751664
30 0.2188 10000 42.94818 0.9172919 10 1.369534 0.4885057 0.4543011
30 0.2188 10000 42.60436 0.9172578 10 1.326921 0.4636015 0.4646697
30 0.2188 10000 42.52915 0.9174695 10 1.374584 0.4923372 0.4422683
30 0.2188 10000 42.80536 0.9161668 11 1.347318 0.4755747 0.4718382
30 0.2196 10000 42.69091 0.916679 11 1.403581 0.4895038 0.4580984
30 0.2196 10000 42.67945 0.9162424 11 1.428117 0.4837786 0.464121
30 0.2196 10000 42.81509 0.916991 11 1.391374 0.4704198 0.4611738
30 0.2196 10000 43.03725 0.9169548 11 1.324780 0.4880725 0.4666838
30 0.2196 10000 43.02528 0.9171878 10 1.352394 0.4694656 0.4637365
30 0.219 10000 42.77757 0.9166755 11 1.355905 0.4909091 0.462612
30 0.219 10000 42.80656 0.9168572 11 1.388210 0.4832536 0.4617157
30 0.219 10000 42.71939 0.9162352 10 1.332220 0.4985646 0.4761844
30 0.219 10000 42.93428 0.9168651 10 1.412711 0.4545455 0.4668374
30 0.219 10000 42.74185 0.9166156 10 1.409485 0.4875598 0.4644046
30 0.2182 10000 42.84762 0.9166298 10 1.381315 0.4668588 0.4672551
30 0.2182 10000 42.76086 0.9169485 11 1.34301 0.4894332 0.4655922
30 0.2182 10000 42.74034 0.9171472 11 1.395876 0.4606148 0.4520338
30 0.2182 10000 42.68247 0.9167992 11 1.386044 0.4716619 0.453185
30 0.2182 10000 42.81055 0.9168128 11 1.369533 0.4783862 0.458813
30 0.2194 10000 42.8549 0.916282 11 1.427537 0.4899713 0.4701512
30 0.2194 10000 42.50158 0.917383 11 1.341375 0.4489016 0.4522162
30 0.2194 10000 42.49594 0.9166163 10 1.392904 0.4632283 0.4477325
30 0.2194 10000 42.75077 0.915925 10 1.366522 0.4594078 0.4624648
30 0.2194 10000 42.68268 0.9181608 11 1.399844 0.4789876 0.4582373
%n density b b_old lambda lse TP FP 
30 0.3138 1 42.79198 8502.638 9 1.084129 0 0
30 0.3138 1 42.65899 8502.63 9 1.067007 0 0
30 0.3138 1 42.70554 8502.88 9 1.092750 0 0
30 0.3138 1 42.70285 8502.752 9 1.102177 0 0
30 0.3138 1 42.79657 8502.706 9 1.065117 0 0
30 0.3146 1 42.97754 8502.665 9 1.054943 0 0
30 0.3146 1 42.70362 8502.558 9 1.092832 0 0
30 0.3146 1 42.91036 8502.641 9 1.072580 0 0
30 0.3146 1 42.85802 8502.74 9 1.092625 0 0
30 0.3146 1 42.78077 8502.735 9 1.084532 0 0
30 0.3138 1 42.62873 8502.64 9 1.115023 0 0
30 0.3138 1 42.55917 8502.567 9 1.088280 0 0
30 0.3138 1 43.01787 8502.816 9 1.10433 0 0
30 0.3138 1 42.78549 8502.64 9 1.099819 0 0
30 0.3138 1 43.12503 8502.642 9 1.082553 0 0
30 0.3128 1 42.71149 8502.75 9 1.078244 0 0
30 0.3128 1 42.48795 8502.716 9 1.086740 0 0
30 0.3128 1 42.64947 8502.615 9 1.076285 0 0
30 0.3128 1 42.71262 8502.691 9 1.076110 0 0
30 0.3128 1 42.77121 8502.665 9 1.058095 0 0
30 0.3138 1 42.68228 8502.811 9 1.098193 0 0
