%n density b lambda lse TP FP 
30 0.3138 10000 11 1.582010 0.6050033 0.5813174
30 0.3138 10000 11 1.555819 0.5898618 0.5939959
30 0.3128 10000 10 1.570785 0.6202114 0.5867288
30 0.3128 10000 12 1.571295 0.581572 0.5960419
30 0.3128 10000 11 1.513054 0.6066711 0.5817811
30 0.3128 10000 10 1.516946 0.6096433 0.5899302
30 0.3128 10000 12 1.579668 0.6106341 0.5942957
30 0.3138 10000 10 1.517096 0.6250823 0.5878753
30 0.3138 10000 10 1.502235 0.5928242 0.5890411
30 0.3138 10000 12 1.574389 0.60237 0.5932673
30 0.3138 10000 12 1.566182 0.5967742 0.5969105
30 0.3138 10000 12 1.513115 0.600395 0.5915185
30 0.3138 2000 11 1.540779 0.6362739 0.6097348
30 0.3138 2000 9 1.609871 0.6132324 0.6097348
30 0.3138 2000 12 1.574137 0.6010533 0.6018653
30 0.3138 2000 12 1.507713 0.6135616 0.5913728
30 0.3138 2000 9 1.545138 0.6237656 0.6046342
30 0.3146 2000 11 1.550369 0.6165463 0.5997957
30 0.3146 2000 10 1.464741 0.6188444 0.600963
30 0.3146 2000 11 1.558453 0.6168746 0.6027137
30 0.3146 2000 12 1.575131 0.6388707 0.6044645
30 0.3146 2000 9 1.593678 0.6135916 0.6049022
30 0.3138 2000 12 1.56233 0.5990783 0.6017196
30 0.3138 2000 10 1.532657 0.5905201 0.6116293
30 0.3138 2000 10 1.574524 0.6089533 0.6078403
30 0.3138 2000 12 1.520218 0.6152074 0.609589
30 0.3138 2000 9 1.537463 0.6132324 0.593413
30 0.3128 2000 10 1.550788 0.6063408 0.6027357
30 0.3128 2000 9 1.514562 0.6046896 0.601135
30 0.3128 2000 9 1.534467 0.602708 0.5992433
30 0.3128 2000 12 1.602555 0.6251651 0.5996799
30 0.3128 2000 12 1.547587 0.6043593 0.6033178
30 0.3138 2000 10 1.532445 0.6257406 0.60478
30 0.3138 2000 12 1.505976 0.6283739 0.5990965
30 0.3138 2000 9 1.604404 0.6119157 0.6015739
30 0.3138 2000 9 1.511440 0.6175115 0.6098805
30 0.3138 2000 11 1.533489 0.5895326 0.6055086
30 0.3138 1000 11 1.561786 0.5941409 0.5986593
30 0.3138 1000 11 1.585353 0.614549 0.597202
30 0.3138 1000 10 1.50726 0.6277156 0.5836491
30 0.3138 1000 9 1.545701 0.6086241 0.5990965
30 0.3138 1000 9 1.547282 0.6040158 0.6039056
30 0.3146 1000 9 1.555624 0.5830598 0.6091334
30 0.3146 1000 12 1.542413 0.6021011 0.5968777
30 0.3146 1000 9 1.510839 0.6103086 0.6046104
30 0.3146 1000 10 1.566157 0.5981615 0.5927925
30 0.3146 1000 9 1.557298 0.5873276 0.6085498
30 0.3138 1000 9 1.517172 0.5977617 0.5969105
30 0.3138 1000 7 1.532168 0.6105991 0.6060915
30 0.3138 1000 12 1.517994 0.5987492 0.5931215
30 0.3138 1000 12 1.57821 0.6211323 0.6081317
30 0.3138 1000 10 1.538060 0.6247531 0.5921014
30 0.3128 1000 9 1.545776 0.6003963 0.6149593
30 0.3128 1000 10 1.571919 0.6033686 0.5982247
30 0.3128 1000 12 1.526645 0.6116248 0.5910943
30 0.3128 1000 8 1.548727 0.5984148 0.6078289
30 0.3128 1000 12 1.565453 0.6162483 0.589057
30 0.3138 1000 9 1.553731 0.6336406 0.6116293
30 0.3138 1000 9 1.582984 0.6076366 0.6092976
30 0.3138 1000 11 1.550346 0.6040158 0.6082775
30 0.3138 1000 8 1.536877 0.5990783 0.606383
30 0.3138 1000 9 1.55174 0.616524 0.5926843
30 0.3138 200 11 1.465132 0.5371955 0.5361411
30 0.3138 200 10 1.464989 0.5612245 0.5485281
30 0.3138 200 10 1.464433 0.542133 0.5451763
30 0.3138 200 10 1.497343 0.5533246 0.5393471
30 0.3138 200 13 1.453272 0.5450955 0.5322064
30 0.3146 200 10 1.512721 0.5502298 0.5461045
30 0.3146 200 10 1.484422 0.558109 0.5354537
30 0.3146 200 11 1.564681 0.5666448 0.5237817
